Site Name,Country/Region,Receiver,Antenna,Radome,Satellite System,Latitude,Longitude,Height (m),X (m),Y (m),Z (m),Calibration,Networks,Data Center,IERS DOMES,Clock,Agencies,Last Data
CKSV00TWN,TW,TRIMBLE ALLOY,TPSCR.G3,TPSH,GPS+GLO+GAL+BDS+QZSS+SBAS,22.998852777777774,120.22000833333334,59.6,-2956619.1898,5075902.1717,2476625.5462,ROBOT,"IGS20, IGS, IGS Multi-GNSS",GA (ftp.ga.gov.au),23606M002,INTERNAL,National Land Surveying and Mapping Center,9
CMP900USA,US,SEPT POLARX5,TWIVC6050,SCIS,GPS+GLO+GAL+BDS+QZSS+SBAS,34.35318055555556,-118.41142499999997,1137.99,-2508506.1541,-4637174.7958,3579499.9356,ROBOT,"IGS, RTS, IGS Multi-GNSS",CDDIS,49905M003,INTERNAL,USGS,1
CMUM00THA,TH,TRIMBLE NETR9,JAV_GRANT-G3T,NONE,GPS+GLO+GAL+BDS+QZSS,18.760874999999995,98.93237777777777,308.962,-938078.387,5968373.965,2038404.323,ROBOT,"IGS, IGS Multi-GNSS",JAXA,21908M001,INTERNAL,Japan Aerospace Exploration Agency,1
COCO00AUS,AU,SEPT POLARX5,LEIAR25.R4,NONE,GPS+GLO+GAL+BDS+QZSS+IRNSS,-12.18833888888889,96.833975,-35.3,-741951.0775,6190961.7217,-1337767.3702,ROBOT,"IGS08 Core, IGS14 Core, IGS08, IGS, IGS14, IGS20, RTS, IGS Multi-GNSS",GA,50127M001,INTERNAL,Geoscience Australia,1
CORD00ARG,AR,SEPT POLARX5,TPSCR.G3,NONE,GPS+GLO+GAL+BDS,-31.528435583333334,-64.47004825000002,747.0654,2345503.9452,-4910842.9601,-3316365.5474,ROBOT,"IGS, IGS Multi-GNSS, RTS",JPL,41511M001,INTERNAL,Jet Propulsion Laboratory,1
COSO00USA,US,SEPT POLARX5,TWIVC6050,SCIS,GPS+GLO+GAL+SBAS,35.98234444444445,-117.80888888888887,1455.16,-2411148.2861,-4571430.2322,3727461.4502,ROBOT,"IGS, RTS",CDDIS,40469M001,INTERNAL,USGS,2
COTE00ATA,AQ,TRIMBLE NETR9,TRM59800.00,SCIS,GPS+GLO,-77.8059,161.9978,1878.1,-1285757.4165,417822.4915,-6214230.8473,ROBOT,IGS,CDDIS,66096M001,INTERNAL,EarthScope Consortium,1
COYQ00CHL,CL,TRIMBLE NETR9,ASH700936D_M,SNOW,GPS+GLO+GAL+BDS,-45.51437597005184,-71.89208373367762,479.3007497083336,1391586.8,-4255574.0,-4527930.9,ROBOT,"IGS08, IGS, IGS20, IGS Multi-GNSS",SIO,41715S001,INTERNAL,Instituto Geografico Militar de Chile,9
CPNM00THA,TH,TRIMBLE NETR9,JAVRINGANT_DM,SCIS,GPS+GLO+GAL+BDS+QZSS,10.72465,99.37437777777777,9.143,-1020874.496,6183763.086,1179096.215,ROBOT,"IGS, IGS Multi-GNSS",JAXA,21907M001,INTERNAL,Japan Aerospace Exploration Agency,179
CPVG00CPV,CV,TRIMBLE ALLOY,TRM59800.00,NONE,GPS+GLO+GAL+BDS+SBAS,16.73206201138889,-22.934933037499995,94.089,5626883.4267,-2380932.5096,1824483.8747,ROBOT,"IGS20, IGS Multi-GNSS, IGS, RTS",IGN,39601M001,INTERNAL,Centre National d'Etudes Spatiales,1
CRFP00USA,US,TRIMBLE NETR9,TRM57971.00,NONE,GPS+GLO+SBAS,34.039052777777776,-117.09968333333333,688.82,-2410446.7968,-4710490.3879,3550422.4952,ROBOT,"IGS, RTS",CDDIS,40481M001,INTERNAL,USGS,2
CRO100VIR,VI,SEPT POLARX5TR,JAVRINGANT_DM,SCIS,GPS+GLO+GAL+BDS,17.756899469444445,-64.58431863333337,-31.4974,2607771.494,-5488076.997,1932768.0602,ROBOT,"IGS20, IGS08 Core, IGS14 Core, IGS08, IGS, IGS14, RTS, IGS Multi-GNSS",JPL,43201M001,EXTERNAL H-MASER,Jet Propulsion Laboratory,1
CUIB00BRA,BR,SEPT POLARX5S,SEPCHOKE_B3E6,SPKE,GPS+GLO+GAL+BDS+SBAS,-15.555261111111113,-56.06986388888889,237.4,3430711.4,-5099641.5,-1699432.9,ROBOT,"IGS, RTS, IGS Multi-GNSS",https://geoftp.ibge.gov.br/informacoes_sobre_,41603M001,INTERNAL,Instituto Brasileiro de Geografia e Estatística,1
CUSV00THA,TH,JAVAD TRE_3 DELTA,JAVRINGANT_DM,NONE,GPS+GLO+GAL+BDS+QZSS+IRNSS,13.73591388888889,100.53390833333331,76.06,-1132913.7678,6092530.5657,1504633.5192,ROBOT,"IGS20, IGS, IGS Multi-GNSS, RTS",JPL,21904S001,INTERNAL,Jet Propulsion Laboratory,1
CUT000AUS,AU,TRIMBLE NETR9,TRM59800.00,SCIS,GPS+GLO+GAL+BDS+QZSS+SBAS,-32.00388888888888,115.89480000000003,24.0,-2364337.2699,4870285.5624,-3360809.8398,ROBOT,"IGS Multi-GNSS, IGS, RTS",CDDIS,59945M001,INTERNAL,Curtin University,78
CUUT00THA,TH,TRIMBLE NETR9,TRM57971.00,NONE,GPS+GLO+GAL+BDS+QZSS+SBAS,13.735991199999997,100.53393481388886,74.296,-1132915.824,6092526.351,1504641.505,ROBOT,"IGS, IGS Multi-GNSS, RTS",CDDIS,21904S002,INTERNAL,Chulalongkorn University,
CYNE00GUF,GF,SEPT POLARX5,TRM115000.00,NONE,GPS+GLO+GAL+BDS+SBAS,4.821954241821865,-52.36541438744183,-22.80647170002841,3880932.8,-5033206.1,532565.6,ROBOT,"IGS, IGS Multi-GNSS, RTS",IGN,42807M001,INTERNAL,Institut National de l'Information Geographique et,1
CZTG00ATF,TF,TRIMBLE ALLOY,LEIAR20,LEIM,GPS+GLO+GAL+BDS+QZSS+SBAS,-46.431894444444445,51.85548055555555,202.8,2719994.82,3463392.63,-4598612.94,ROBOT,"IGS20, IGS Multi-GNSS, IGS, RTS",IGN,91301M002,INTERNAL,Centre National d'Etudes Spatiales,1
DAE200KOR,KR,JAVAD TRE_3S DELTA,TRM59800.00,SCIS,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,36.399425,127.37448055555552,116.824,-3120042.274,4084614.722,3764026.818,ROBOT,"IGS, IGS Multi-GNSS",JAXA,23902M003,,Japan Aerospace Exploration Agency,1
DAEJ00KOR,KR,TRIMBLE NETR9,TRM59800.00,SCIS,GPS+GLO+GAL+BDS+QZSS,36.39940000000001,127.37449999999998,117.037,-3120041.821,4084615.221,3764027.013,ROBOT,"IGS20, IGS14 Core, IGS08, IGS, IGS14, RTS, IGS Multi-GNSS",KASI,23902M002,EXTERNAL CESIUM,Korea Astronomy and Space Science Institute,1
DAKR00SEN,SN,JAVAD TRE_3N DELTA,TWIVC6150,NONE,GPS+GLO+GAL,14.721222222222222,-17.43947222222222,51.0,5886533.48,-1849181.6,1610300.44,ROBOT,"IGS20, IGS, RTS",CDDIS,34108M001,INTERNAL,Direction des Travaux Geographiques et Cartographi,
DARW00AUS,AU,SEPT POLARX5,JAVRINGANT_DM,NONE,GPS+GLO+GAL+BDS+QZSS+IRNSS,-12.843696752878028,131.13274420852537,125.09900958882314,-4091359.6055,4684606.4197,-1408579.1195,ROBOT,"IGS20, IGS08 Core, IGS14 Core, IGS08, IGS, IGS14, RTS, IGS Multi-GNSS",GA,50134M001,INTERNAL,Geoscience Australia,1
DAV100ATA,AQ,SEPT POLARX5,LEIAR25.R3,LEIT,GPS+GLO+GAL+BDS+QZSS+IRNSS,-68.577325,77.9726111111111,44.4,486854.5948,2285099.1548,-5914955.7458,ROBOT,"IGS20, IGS08 Core, IGS14 Core, IGS08, IGS, IGS14, RTS, IGS Multi-GNSS",GA,66010M001,INTERNAL,Geoscience Australia,1
DEAR00ZAF,ZA,TRIMBLE ALLOY,ASH701941.B,SCIS,GPS+GLO,-30.665205555555556,23.99263888888889,1321.7,5017617.2841,2233214.7864,-3234696.1991,ROBOT,IGS,ftp://igs.ign.fr/,30316M001,INTERNAL,National Geospatial Information,2
DGAR00GBR,GB,SEPT POLARX5,ASH701945E_M,NONE,GPS+GLO+GAL+BDS+QZSS+IRNSS,-7.269684333333332,72.37024019444446,-64.7455,1916269.343,6029977.689,-801719.821,ROBOT,"IGS20, IGS08 Core, IGS14 Core, IGS08, IGS, IGS14, IGS Multi-GNSS, RTS",JPL,30802M001,INTERNAL,Jet Propulsion Laboratory,1
