Site Name,Country/Region,Receiver,Antenna,Radome,Satellite System,Latitude,Longitude,Height (m),X (m),Y (m),Z (m),Calibration,Networks,Data Center,IERS DOMES,Clock,Agencies,Last Data
GLPS00ECU,EC,SEPT POLARX5,ASH701945B_M,SCIT,GPS+GLO+GAL+BDS,-0.7429986388888888,-90.3036685833333,1.7882,-33801.259,-6377516.5276,-82154.3037,FIELD,"IGS20, IGS08 Core, IGS14 Core, IGS08, IGS, IGS14, IGS Multi-GNSS, RTS",JPL,42005M002,INTERNAL,Jet Propulsion Laboratory,1
GLSV00UKR,UA,TRIMBLE NETR9,TRM115000.00,NONE,GPS+GLO+GAL+BDS+QZSS,50.36417777777777,30.496738888888892,226.8,3512889.29,2068980.654,4888903.261,ROBOT,"IGS20, IGS08, IGS, IGS14, IGS Multi-GNSS",BKG,12356M001,INTERNAL,Main Astronomical Observatory of Ukraine,1
GMSD00JPN,JP,TRIMBLE NETR9,TRM59800.00,SCIS,GPS+GLO+GAL+BDS+QZSS,30.556444444444452,131.01556388888892,142.6,-3607665.4303,4147868.2248,3223717.2617,ROBOT,"IGS08, IGS, IGS Multi-GNSS",CDDIS,21749S002,EXTERNAL CESIUM,Japan Aerospace Exploration Agency,1
GODE00USA,US,SEPT POLARX5TR,AOAD/M_T,JPLA,GPS+GLO+GAL+BDS,39.02172758333332,-76.82683049999997,14.5046,1130773.718,-4831253.581,3994200.422,,"IGS20, IGS14 Core, IGS08, IGS, IGS14, IGS Multi-GNSS, RTS",JPL,40451M123,EXTERNAL H-MASER,Jet Propulsion Laboratory,1
GODN00USA,US,JAVAD TRE_3 DELTA,TPSCR.G3,SCIS,GPS+GLO+GAL+BDS,39.021166666666666,-76.82708333333335,18.0,1130760.8757,-4831298.688,3994155.1861,ROBOT,"IGS20, IGS, IGS Multi-GNSS, RTS",JPL,40451M127,EXTERNAL H-MASER,Jet Propulsion Laboratory,1
GODS00USA,US,JAVAD TRE_3 DELTA,JAVRINGANT_DM,SCIS,GPS+GLO+GAL+BDS,39.02051792731894,-76.82732431050056,19.067040330361923,1130752.1541,-4831349.1034,3994098.9626,ROBOT,"IGS, IGS Multi-GNSS, RTS",JPL,40451M128,EXTERNAL H-MASER,Jet Propulsion Laboratory,1
GOL200USA,US,ASHTECH UZ-12,AOAD/M_T,NONE,GPS,35.425155555555556,-116.88925000000003,986.6779,-2353614.316,-4641385.324,3676976.407,ROBOT,"IGS14 Core, IGS, IGS14",JPL,40405S031,EXTERNAL H-MASER,Jet Propulsion Laboratory,1
GOLD00USA,US,JAVAD TRE_G3TH DELTA,AOAD/M_T,NONE,GPS+GLO+GAL+QZSS,35.425155555555556,-116.88925000000003,986.6779,-2353614.316,-4641385.3523,3676976.434,ROBOT,"IGS20, IGS08 Core, IGS08, IGS14 Core, IGS, IGS14, IGS Multi-GNSS, RTS",JPL,40405S031,EXTERNAL H-MASER,Jet Propulsion Laboratory,1
GOP600CZE,CZ,SEPT POLARX5,SEPCHOKE_B3E6,SPKE,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,49.91366666666666,14.785602777777783,592.6,3979319.62,1050311.94,4857064.38,ROBOT,"IGS Multi-GNSS, IGS, RTS",BKG,11502M006,EXTERNAL CESIUM,"Research Institute of Geodesy, Topography and Cart",1
GOP700CZE,CZ,TRIMBLE NETR9,SEPCHOKE_B3E6,SPKE,GPS+GLO+GAL+BDS+QZSS,49.91366666666666,14.785602777777783,592.6,3979319.64,1050311.92,4857064.37,ROBOT,"IGS Multi-GNSS, IGS",BKG,11502M006,EXTERNAL CESIUM,"Research Institute of Geodesy, Topography and Cart",1
GOPE00CZE,CZ,TRIMBLE ALLOY,TPSCR.G3,TPSH,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,49.913705555555566,14.785622222222218,592.6,3979316.134,1050312.478,4857067.108,ROBOT,"IGS, RTS, IGS Multi-GNSS",BEV,11502M002,EXTERNAL CESIUM,"Research Institute of Geodesy, Topography and Cart",1
GRAC00FRA,FR,LEICA GR50,TRM57971.00,NONE,GPS+GLO+GAL+BDS+SBAS,43.75448611111111,6.920761111111111,1319.8,4581708.63,556132.23,4389340.93,ROBOT,"IGS, IGS Multi-GNSS, RTS",IGN,10002M010,INTERNAL,Institut National de l'Information Geographique et,1
GRAS00FRA,FR,TRIMBLE NETR9,ASH701945E_M,NONE,GPS+GLO+GAL+BDS+SBAS,43.754738888888895,6.920575000000001,1319.3,4581690.811,556114.972,4389360.88,ROBOT,"IGS20, IGS08, IGS, IGS14, IGS Multi-GNSS, RTS",IGN,10002M006,INTERNAL,Centre National d'Etudes Spatiales,1
GRAZ00AUT,AT,SEPT POLARX5,LEIAR25.R4,LEIT,GPS+GLO+GAL+BDS,47.067127777777785,15.493474999999998,538.3,4194424.124,1162702.46,4647245.193,ROBOT,"IGS20, IGS08, IGS, IGS14, RTS, IGS Multi-GNSS",BKG,11001M002,INTERNAL,Federal Office Of Metrology an Surveying,1
GUAM00GUM,GU,SEPT POLARX5,JAVRINGANT_DM,SCIS,GPS+GLO+GAL+BDS+QZSS,13.589330555555557,144.86835833333336,201.914,-5071312.6574,3568363.6347,1488904.402,ROBOT,"IGS20, IGS08 Core, IGS14 Core, IGS08, IGS, IGS14, IGS Multi-GNSS, RTS",JPL,50501M002,INTERNAL,Jet Propulsion Laboratory,1
GUAT00GTM,GT,LEICA GRX1200GGPRO,LEIAR25.R3,LEIT,GPS+GLO,14.590402777777781,-90.52018333333334,1519.9,-56063.582,-6174978.67,1596665.267,ROBOT,"IGS20, IGS08 Core, IGS14 Core, IGS08, IGS, IGS14",ftp://geodesy.noaa.gov/cors,40901S001,INTERNAL,"Instituto Geografico Nacional, Guatemala",335
GUUG00USA,US,TRIMBLE ALLOY,LEIAR20,LEIM,GPS+GLO+GAL,13.433208333333328,144.8027138888889,134.7,-5070465.249,3576460.234,1472093.785,ROBOT,"IGS08, IGS14 Core, IGS14, IGS",https://geodesy.noaa.gov/corsdata/,82301M001,INTERNAL,National Geodetic Survey,1
GVDG00GRC,GR,SEPT POLARX5,TRM159900.00,NONE,GPS+GLO+GAL+BDS+IRNSS+SBAS,34.83836111111111,24.10903055555556,124.2,4783638.002,2140729.676,3623234.366,ROBOT,"IGS, IGS Multi-GNSS, RTS",IGN,12618M003,INTERNAL,Centre National d'Etudes Spatiales,1
HAL100USA,US,SEPT POLARX5,JAVRINGANT_DM,SCIS,GPS+GLO+GAL+BDS+QZSS,20.70741704570039,-156.2562425168561,3072.844097989328,-5466017.9454,-2404394.6546,2242210.2481,ROBOT,"IGS, IGS Multi-GNSS, RTS",JPL,40445M006,INTERNAL,Jet Propulsion Laboratory,1
HAMD00IRN,IR,TRIMBLE NETR9,TRM57971.00,SCIT,GPS+GLO,34.8690826611111,48.53430644444443,1750.9381,3469898.0183,3926741.412,3626961.1469,ROBOT,IGS,SIO,20411M001,INTERNAL,National Cartographic Center of Iran,591
HARB00ZAF,ZA,SEPT POLARX5TR,TRM59800.00,NONE,GPS+GLO+GAL+BDS+IRNSS+SBAS,-25.88696174055555,27.707245846666666,1558.078,5084657.615,2670325.2503,-2768481.0274,ROBOT,"IGS14 Core, IGS08, IGS, IGS14, IGS Multi-GNSS, RTS",IGN,30302M009,EXTERNAL CESIUM,Centre National d'Etudes Spatiales,1
HERS00GBR,GB,SEPT POLARX5TR,LEIAR25.R3,NONE,GPS+GLO+GAL+BDS+SBAS,50.86730000000001,0.3361999999999999,76.5,4033471.33,23667.86,4924300.35,ROBOT,"IGS20, IGS08, IGS, IGS14, IGS Multi-GNSS, RTS",BKG,13212M007,EXTERNAL H-MASER,NERC Space Geodesy Facility,1
HERT00GBR,GB,LEICA GRX1200GGPRO,LEIAT504GG,NONE,GPS+GLO,50.86747777777777,0.33435277777777783,83.3,4033461.038,23537.662,4924318.165,ROBOT,"IGS08, IGS, IGS14, RTS",BKG,13212M010,INTERNAL,NERC Space Geodesy Facility,1
HKSL00HKG,CN,LEICA GR50,LEIAR25.R4,LEIT,GPS+GLO+GAL+BDS+QZSS,22.372005555555553,113.92798055555556,95.3,-2393382.414,5393861.187,2412592.401,ROBOT,"IGS20, IGS, RTS, IGS Multi-GNSS",CDDIS,23015M001,INTERNAL,Hong Kong Lands Department,1
HKWS00HKG,CN,LEICA GR50,LEIAR25.R4,LEIT,GPS+GLO+GAL+BDS+QZSS,22.434283333333337,114.3353777777778,63.8,-2430579.004,5374285.676,2418956.331,ROBOT,"IGS, RTS, IGS Multi-GNSS",CDDIS,23019M001,INTERNAL,Hong Kong Lands Department,1
HLFX00CAN,CA,SEPT POLARX5,TPSCR.G3,NONE,GPS+GLO+GAL,44.68355000000001,-63.611277777777765,3.1,2018905.8,-4069070.52,4462415.41,ROBOT,"IGS20, IGS08, IGS14 Core, IGS, IGS14, RTS, IGS Multi-GNSS",CDDIS,40120M001,EXTERNAL RUBIDIUM,Natural Resources Canada,1
HNLC00USA,US,TRIMBLE NETR9,ASH700936D_M,SNOW,GPS,21.303299999999997,-157.8645,22.0,-5506799.0,-2240050.0,2302720.0,ROBOT,"IGS20, IGS14 Core, IGS08, IGS, IGS14",SOPAC,49970S001,INTERNAL,Pacific GPS Facility,1
HNPT00USA,US,SEPT POLARX5,TWIVC6050,NONE,GPS+GLO+GAL+BDS,38.588816666666666,-76.13037222222222,-28.0,1196626.343,-4846358.5,3956723.115,ROBOT,IGS,https://geodesy.noaa.gov/corsdata/,49913S001,INTERNAL,National Geodetic Survey,1
HNUS00ZAF,ZA,TRIMBLE ALLOY,ASH701941.B,SCIS,GPS+GLO,-34.42463055555555,19.22306111111111,63.0,4973168.8045,1734085.3905,-3585434.1455,ROBOT,"IGS20, IGS",ftp://igs.ign.fr/,30322M001,INTERNAL,National Geospatial Information,2
HOB200AUS,AU,SEPT POLARX5,LEIAR25.R4,NONE,GPS+GLO+GAL+BDS+QZSS+IRNSS,-42.80470555555555,147.43873611111113,41.0,-3950072.2497,2522415.3618,-4311637.4022,ROBOT,"IGS08 Core, IGS20, IGS14 Core, IGS08, IGS, IGS14, RTS, IGS Multi-GNSS",GA,50116M004,EXTERNAL H-MASER,Geoscience Australia,1
HOFN00ISL,IS,LEICA GR50,LEIAR25.R4,LEIT,GPS+GLO+GAL+BDS+IRNSS+SBAS,64.26729444444443,-15.197913888888886,82.9,2679689.9,-727950.9,5722789.6,ROBOT,"IGS08 Core, IGS20, IGS08, IGS, IGS14, IGS Multi-GNSS, RTS",BKG,10204M002,INTERNAL,Bundesamt fuer Kartographie und Geodaesie,1
HOLB00CAN,CA,SEPT POLARX5,SEPCHOKE_B3E6,SPKE,GPS+GLO+GAL+BDS,50.64040000000001,-128.135,560.0,-2503040.424,-3188233.325,4908701.543,ROBOT,"IGS14 Core, IGS08, IGS, IGS14, IGS Multi-GNSS",PGC,40130M001,INTERNAL RECEIVER CLOCK,Geological Survey of Canada,1
HOLM00CAN,CA,SEPT POLARX5,ASH701945D_M,NONE,GPS+GLO+GAL,70.73640000000003,-117.7609,39.5,-983063.87,-1867634.52,5998678.91,ROBOT,"IGS20, IGS14 Core, IGS, IGS14",CDDIS,40148M001,INTERNAL,"NRCan, Geodetic Survey Division",1
HOLP00USA,US,SEPT POLARX5,TWIVC6050,SCIS,GPS+GLO+GAL+BDS+QZSS+SBAS,33.9245388888889,-118.16816944444443,-6.71,-2500946.0962,-4670472.9515,3539500.5469,ROBOT,"IGS, RTS, IGS Multi-GNSS",CDDIS,49903M001,INTERNAL,USGS,1
HRAG00ZAF,ZA,JAVAD TRE_G3TH DELTA,LEIAR25.R3,LEIT,GPS+GLO+GAL+IRNSS+SBAS,-25.89040222222222,27.68518022222223,1407.38,5085418.18,2668226.51,-2768758.21,ROBOT,"IGS Multi-GNSS, IGS, RTS",BKG,30302M010,EXTERNAL H-MASER,DLR German Space Operations Center,1
HRAO00ZAF,ZA,SEPT POLARX5TR,ASH701945E_M,NONE,GPS+GLO+GAL+BDS+QZSS+IRNSS,-25.890105555555554,27.686980555555554,1414.3,5085352.597,2668395.992,-2768731.551,ROBOT,"IGS20, IGS14 Core, IGS08, IGS, IGS14, IGS Multi-GNSS, RTS",JPL,30302M004,EXTERNAL H-MASER,Jet Propulsion Laboratory,18
HUMG00VNM,VN,JAVAD TR_2S,LEIAR20,LEIM,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,21.07175210132441,105.7734857973104,0.8355536616615814,-1618563.5164,5730001.8237,2278810.0966,ROBOT,"IGS, IGS Multi-GNSS, RTS",CDDIS,24301M002,INTERNAL,GeoForschungsZentrum,1
HYDE00IND,IN,LEICA GRX1200GGPRO,LEIAT504GG,NONE,GPS+GLO,17.41725555555556,78.55086666666668,441.68,1208444.8595,5966806.0568,1897076.6227,ROBOT,"IGS20, IGS14 Core, IGS08, IGS, IGS14",CDDIS,22307M001,INTERNAL,National Geophysical Research Institute,72
IENG00ITA,IT,SEPT POLARX5TR,SEPCHOKE_MC,NONE,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,45.01513333333334,7.639405555555555,316.6,4476537.4,600431.46,4488761.34,ROBOT,"IGS, IGS Multi-GNSS",ASI,12724S001,EXTERNAL H-MASER,Istituto Nazionale di Ricerca Metrologica,1
IISC00IND,IN,SEPT POLARX5,ASH701945E_M,NONE,GPS+GLO+GAL+BDS+QZSS+IRNSS,13.021165861111111,77.57037594444444,843.7145,1337936.455,6070317.1261,1427876.7852,ROBOT,"IGS08 Core, IGS20, IGS14 Core, IGS08, IGS, IGS14, IGS Multi-GNSS, RTS",JPL,22306M002,INTERNAL,Jet Propulsion Laboratory,1
IITK00IND,IN,TRIMBLE ALLOY,TRM159900.00,SCIS,GPS+GLO+GAL+BDS+QZSS+IRNSS,26.52142222222222,80.23213333333335,71.7,968880.6487,5628037.6499,2830900.7294,ROBOT,"RTS, IGS, IGS Multi-GNSS",,22317M001,,Indian Institute of Technology Kanpur,1
IMPZ00BRA,BR,LEICA GR50,LEIAR10,NONE,GPS+GLO+GAL+BDS+SBAS,-5.4917638888888884,-47.497233333333334,105.0,4289656.4,-4680884.9,-606347.1,ROBOT,"IGS, IGS Multi-GNSS, RTS",CDDIS,41615M001,,Instituto Brasileiro de Geografia e Estatística,1
INEG00MEX,MX,TRIMBLE ALLOY,TRM115000.00,NONE,GPS+GLO+GAL+BDS,21.856152777777773,-102.2842027777778,1888.3,-1260435.67,-5788547.37,2360340.12,ROBOT,"IGS, IGS Multi-GNSS",ftp://geodesia.inegi.org.mx,40507M001,INTERNAL,Instituto Nacional de Estadistica y Geografía,1
INVK00CAN,CA,TRIMBLE NETR9,ASH701945C_M,SCIS,GPS,68.30618249755484,-133.5269665453127,46.3461313703473,-1628432.507,-1714393.099,5903844.566,ROBOT,"IGS20, IGS08, IGS, IGS14",CDDIS,40150M001,INTERNAL,"NRCan, Geodetic Survey Division",1
IQAL00CAN,CA,SEPT POLARX5S,TPSCR.G3,NONE,GPS+GLO+GAL,63.75596388888888,-68.51049722222224,91.7,1036001.02,-2631455.56,5697819.69,ROBOT,"IGS20, IGS, IGS14, RTS, IGS Multi-GNSS",CDDIS,40194M001,INTERNAL,Natural Resources Canada,1
IQQE00CHL,CL,TRIMBLE NETR9,ASH700936D_M,SNOW,GPS,-20.273538767570574,-70.13171652631604,38.99461856950683,2034208.3,-5629172.5,-2196141.6,ROBOT,"IGS, RTS",SIO,41708S002,INTERNAL,Instituto Geografico Militar de Chile,9
IRKJ00RUS,RU,JAVAD TRE_G3TH SIGMA,JPSREGANT_SD_E1,NONE,GPS+GLO,52.219019444444434,104.31617777777777,502.1,-968328.35,3794426.541,5018167.196,ROBOT,"IGS20, IGS08, IGS",CDDIS,12313M002,EXTERNAL H-MASER,VNIIFTRI,2
IRKM00RUS,RU,JAVAD TRE_G3TH DELTA,AOAD/M_T,NONE,GPS+GLO,52.219024091666675,104.31624031388888,502.317,-968332.3889,3794425.4087,5018167.7058,ROBOT,"IGS14 Core, IGS, IGS14",CDDIS,12313M001,EXTERNAL H-MASER,RDAAC,
ISBA00IRQ,IQ,TRIMBLE NETR5,TRM57971.00,NONE,GPS+GLO,33.34141388888891,44.43840277777778,72.4,3808364.974,3734430.116,3485693.39,ROBOT,"IGS20, IGS",https://geodesy.noaa.gov/corsdata/,20308M001,INTERNAL,Iraq Ministry of Water Resource General Directorat,950
ISHI00JPN,JP,TRIMBLE ALLOY,TRM59800.00,SCIS,GPS+GLO+GAL+QZSS,36.20883333333333,140.21895555555554,155.83,-3959648.7541,3296836.3371,3747005.5756,ROBOT,"IGS, IGS Multi-GNSS, RTS",CDDIS,21791M001,EXTERNAL H-MASER,Geospatial Information Authority of Japan,1
ISPA00CHL,CL,SEPT POLARX5,ASH701945E_M,SCIT,GPS+GLO+GAL+BDS,-27.124984,-109.344398,112.48,-1881702.3544,-5359980.1114,-2890599.3474,ROBOT,"IGS08 Core, IGS20, IGS14 Core, IGS08, IGS, IGS14, IGS Multi-GNSS",JPL,41703M007,INTERNAL,Jet Propulsion Laboratory,1
ISTA00TUR,TR,LEICA GR25,LEIAR25.R4,LEIT,GPS+GLO+GAL+BDS+SBAS,41.104447222222234,29.019338888888885,147.2,4208830.46,2334850.14,4171267.18,ROBOT,"IGS20, IGS08, IGS, RTS, IGS Multi-GNSS",BKG,20807M001,INTERNAL,Bundesamt fuer Kartographie und Geodaesie,1
IZMI00TUR,TR,TRIMBLE ALLOY,TRM115000.00,NONE,GPS+GLO+GAL+BDS+QZSS+SBAS,38.39480833333333,27.081822222222225,74.9,4456584.236,2278765.506,3939930.889,ROBOT,"IGS, IGS Multi-GNSS",IGN,20817M001,INTERNAL,General Command of Mapping Turkey,1
JCTW00ZAF,ZA,TRIMBLE NETR9,TRM59800.00,SCIS,GPS+GLO+GAL+BDS,-33.95143333333333,18.468549999999993,83.596,5023564.462,1677795.751,-3542025.865,ROBOT,"IGS, IGS Multi-GNSS",JAXA,30305M001,INTERNAL,Japan Aerospace Exploration Agency,1
JDPR00IND,IN,TRIMBLE ALLOY,JAVGRANT_G5TLBI,NONE,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,26.20645184292533,73.02394822446439,167.2919827418154,1671950.8578,5476891.3303,2799675.5722,ROBOT,"IGS, IGS Multi-GNSS",GA,22313M001,,ISTRAC,1
JFNG00CHN,CN,TRIMBLE ALLOY,TRM59800.00,NONE,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,30.51556541194444,114.49101890027777,71.324,-2279828.8292,5004706.5483,3219777.4684,ROBOT,"IGS20, IGS, IGS Multi-GNSS, RTS",IGN,21602M006,INTERNAL,Centre National d'Etudes Spatiales,540
JOG200IDN,ID,SEPT POLARX5,SEPCHOKE_B3E6,NONE,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,-7.76381409649813,110.37246289128944,174.37473509930433,-2200208.0871,5924895.6273,-855929.2334,ROBOT,"IGS, IGS Multi-GNSS, RTS",CDDIS,23109M002,INTERNAL,GeoForschungsZentrum,1
JOZ200POL,PL,TRIMBLE NETR9,TRM59800.00,NONE,GPS+GLO+GAL+BDS+QZSS,52.09783055555556,21.032341666666667,152.3,3664881.0,1409190.0,5009618.0,ROBOT,"IGS08, IGS, IGS Multi-GNSS, RTS",BKG,12204M002,INTERNAL,Warsaw University of Technology,1
JOZE00POL,PL,SEPT POLARX5,SEPCHOKE_B3E6,NONE,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,52.097272222222216,21.031533333333332,141.4,3664940.5,1409153.59,5009571.17,ROBOT,"IGS08, IGS20, IGS, IGS14, IGS Multi-GNSS",BEV,12204M001,INTERNAL,Warsaw University of Technology,1
JPLM00USA,US,SEPT POLARX5,AOAD/M_T,NONE,GPS+GLO+GAL+BDS,34.20481944444445,-118.17322500000004,423.9843,-2493304.6796,-4655215.1032,3565497.5918,ROBOT,"IGS08, IGS, IGS Multi-GNSS, RTS",JPL,40400M007,EXTERNAL RUBIDIUM,Jet Propulsion Laboratory,14
JPRE00ZAF,ZA,TRIMBLE NETR9,TRM59800.00,SCIS,GPS+GLO+GAL+BDS,-25.732025000000004,28.282633333333326,1387.327,5064032.232,2724721.054,-2752950.721,ROBOT,"IGS, IGS Multi-GNSS",JAXA,30325M001,INTERNAL,Japan Aerospace Exploration Agency,1
KARR00AUS,AU,SEPT POLARX5,TWIVC6050,NONE,GPS+GLO+GAL+BDS+QZSS+IRNSS,-20.981422222222214,117.09719722222218,109.1,-2713833.2625,5303935.1096,-2269513.7461,ROBOT,"IGS08, IGS08 Core, IGS20, IGS, IGS14, IGS Multi-GNSS, RTS",GA,50139M001,INTERNAL,Geoscience Australia,1
KAT100AUS,AU,SEPT POLARX5,LEIAR25.R3,LEIT,GPS+GLO+GAL+BDS+IRNSS,-14.375994444444444,132.1532777777778,184.3,-4147413.8169,4581462.5899,-1573359.0814,ROBOT,"IGS20, IGS14 Core, IGS, IGS14, IGS Multi-GNSS, RTS",GA,59968M001,INTERNAL,Geoscience Australia,1
KERG00ATF,TF,TRIMBLE ALLOY,ASH701945E_M,SNOW,GPS+GLO+GAL+BDS+QZSS+SBAS,-49.35146693888888,70.25552387944447,73.009,1406337.0,3918161.0,-4816168.0,ROBOT,"IGS08, IGS08 Core, IGS20, IGS14 Core, IGS, IGS14, IGS Multi-GNSS, RTS",IGN,91201M002,INTERNAL,Centre National d'Etudes Spatiales,1
KHAR00UKR,UA,NOV OEMV3,NOV702GG,NONE,GPS+GLO,50.005102777777786,36.23900833333334,201.0,3312984.369,2428203.401,4863307.795,ROBOT,IGS,BKG,12314M001,INTERNAL,Main Astronomical Observatory of Ukraine,
KIR000SWE,SE,SEPT POLARX5,JAVRINGANT_DM,OSOD,GPS+GLO+GAL+BDS+QZSS+SBAS,67.87757222222223,21.060233333333336,498.0,2248123.504,865686.533,5886425.594,,"IGS, IGS Multi-GNSS, RTS",BKG,10422M001,INTERNAL,Lantmateriet the Swedish mapping authority,1
KIR800SWE,SE,TRIMBLE ALLOY,TPSCR.G5,TPSH,GPS+GLO+GAL+BDS+QZSS+SBAS,67.87754166666667,21.060177777777785,498.0,2248127.371,865685.468,5886424.301,ROBOT,"IGS Multi-GNSS, RTS, IGS",BKG,10422M002,INTERNAL,Lantmateriet the Swedish mapping authority,1
KIRI00KIR,KI,SEPT POLARX5,TRM59800.00,NONE,GPS+GLO+GAL+BDS+QZSS+IRNSS,1.354588888888889,172.92288333333332,36.2,-6327822.269,785605.551,149769.724,ROBOT,"IGS20, IGS14 Core, IGS, IGS14, IGS Multi-GNSS, RTS",GA,50305M001,INTERNAL,Geoscience Australia,1
KIRU00SWE,SE,SEPT POLARX5TR,SEPCHOKE_B3E6,SPKE,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,67.85734999999997,20.96844166666667,390.9,2251420.999,862817.095,5885476.564,ROBOT,"IGS20, IGS14 Core, IGS, IGS14, IGS Multi-GNSS, RTS",CDDIS,10403M002,EXTERNAL CESIUM,ESA/ESOC,1
KIT300UZB,UZ,SEPT ASTERX4,SEPCHOKE_B3E6,NONE,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,39.13476666666666,66.88544999999999,622.6,1944944.8306,4556652.418,4004326.1235,ROBOT,"IGS08, IGS20, IGS14 Core, IGS, IGS14, IGS Multi-GNSS, RTS",CDDIS,12334M001,INTERNAL,GeoForschungsZentrum,1
KITG00UZB,UZ,SEPT POLARX5,TRM59800.00,SCIS,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,39.133386402777795,66.88673816111113,620.631,1944879.726,4556783.77,4004205.937,ROBOT,"IGS, IGS Multi-GNSS, RTS",IGN,12334M004,INTERNAL,Centre National d'Etudes Spatiales,1
KLSQ00GRL,GL,SEPT POLARX5,LEIAR25.R4,LEIT,GPS+GLO+GAL+BDS+QZSS,66.99560555555557,-50.62023611111111,353.2,1586032.319,-1932258.392,5848546.971,ROBOT,"IGS, IGS Multi-GNSS",DEV,43015M001,INTERNAL,DTU Space,1
KMNM00TWN,TW,TRIMBLE ALLOY,TPSCR3_GGD,CONE,GPS+GLO+GAL+BDS+QZSS+SBAS,24.463822222222227,118.38857777777774,49.1,-2761837.8555,5110347.1476,2625150.8677,ROBOT,"IGS20, IGS, IGS Multi-GNSS",GA (ftp.ga.gov.au),23608M001,INTERNAL,National Land Surveying and Mapping Center,9
KOKB00USA,US,SEPT POLARX5TR,ASH701945G_M,NONE,GPS+GLO+GAL+BDS+QZSS,22.126263777777776,-159.66492977777781,1167.5216,-5543838.3609,-2054586.6103,2387810.1225,ROBOT,"IGS08, IGS08 Core, IGS20, IGS14 Core, IGS, IGS14, IGS Multi-GNSS",JPL,40424M004,EXTERNAL H-MASER,Jet Propulsion Laboratory,1
KOKV00USA,US,JAVAD TRE_G3TH DELTA,ASH701945G_M,NONE,GPS+GLO+GAL+QZSS,22.126263777777776,-159.66492977777781,1167.5216,-5543838.3609,-2054586.6103,2387810.1225,ROBOT,"IGS14 Core, IGS, IGS14, IGS Multi-GNSS, RTS",JPL,40424M004,EXTERNAL H-MASER,Jet Propulsion Laboratory,1
KOS100NLD,NL,SEPT POLARX5E,LEIAR25.R3,LEIT,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,52.17335555555557,5.818225000000001,104.8,3899613.948,397361.592,5014738.666,ROBOT,"IGS, IGS Multi-GNSS, RTS",BKG,13504M005,INTERNAL,Delft University of Technology,1
KOUC00NCL,NC,TRIMBLE NETR9,TRM57971.00,TZGD,GPS+GLO+GAL+BDS+QZSS,-20.558697222222218,164.2873333333333,84.2,-5751222.662,1617967.645,-2225744.218,ROBOT,"IGS08, IGS08 Core, IGS20, IGS, IGS Multi-GNSS, RTS",IGN,92727S001,INTERNAL,DEPARTMENT of LAND (DITTT/ST/BGN),1
KOUG00GUF,GF,SEPT POLARX5TR,LEIAR25.R3,LEIT,GPS+GLO+GAL+BDS+SBAS,5.0984678415814635,-52.63974712805765,106.21364617935315,3855263.0,-5049731.0,563040.0,ROBOT,"IGS20, IGS, IGS Multi-GNSS, RTS",IGN,97301M402,EXTERNAL CESIUM,Centre National d'Etudes Spatiales,1
KOUR00GUF,GF,SEPT POLARX5TR,SEPCHOKE_B3E6,NONE,GPS+GLO+GAL+BDS+SBAS,5.252179681102346,-52.805959098816004,-25.762511340882796,3839591.447,-5059567.538,579956.867,ROBOT,"IGS20, IGS14 Core, IGS, IGS14, IGS Multi-GNSS, RTS",CDDIS,97301M210,EXTERNAL H-MASER,ESA/ESOC,1
KRGG00ATF,TF,TRIMBLE ALLOY,LEIAR25.R4,LEIT,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,-49.351543011111104,70.2555059277778,72.9673,1406336.2099,3918154.6213,-4816172.8453,ROBOT,"IGS20, IGS14 Core, IGS, IGS14, IGS Multi-GNSS, RTS",IGN,91201M007,INTERNAL,Centre National d'Etudes Spatiales,1
KRS100TUR,TR,TRIMBLE ALLOY,TRM55971.00,TZGD,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,40.58845277645076,43.09344444192527,1811.7004452594863,3542999.668,3314720.171,4129002.589,ROBOT,"IGS, IGS Multi-GNSS",IGN,20816M001,INTERNAL,General Command of Mapping Turkey,1
KSU100USA,US,SEPT POLARX5,TRM59800.99,SCIT,GPS+GLO+GAL+BDS,39.10075000000001,-96.60948333333334,325.5905,-570504.689,-4923591.018,4001208.4839,ROBOT,"IGS20, RTS, IGS, IGS Multi-GNSS",CDDIS,49240M001,INTERNAL,EarthScope Consortium,1
KUJ200CAN,CA,SEPT POLARX5,AOAD/M_T_RFI_T,NONE,GPS+GLO+GAL,55.29000833333334,-77.73527222222222,8.6,773263.38,-3557025.2,5219841.77,ROBOT,"IGS, IGS Multi-GNSS, RTS",NRCan,40154M002,INTERNAL,Natural Resources Canada,
